item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-01
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-01
Q4099686,WikiProject Medicine,1,2025-01-01
Q97285685,Wiki99/LGBT+,1,2025-01-01
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-02
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-02
Q4099686,WikiProject Medicine,1,2025-01-02
Q97285685,Wiki99/LGBT+,1,2025-01-02
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-03
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-03
Q4099686,WikiProject Medicine,1,2025-01-03
Q97285685,Wiki99/LGBT+,1,2025-01-03
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-04
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-04
Q4099686,WikiProject Medicine,1,2025-01-04
Q97285685,Wiki99/LGBT+,1,2025-01-04
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-05
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-05
Q4099686,WikiProject Medicine,1,2025-01-05
Q97285685,Wiki99/LGBT+,1,2025-01-05
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-06
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-06
Q4099686,WikiProject Medicine,1,2025-01-06
Q97285685,Wiki99/LGBT+,1,2025-01-06
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-07
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-07
Q4099686,WikiProject Medicine,1,2025-01-07
Q97285685,Wiki99/LGBT+,1,2025-01-07
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-08
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-08
Q4099686,WikiProject Medicine,1,2025-01-08
Q97285685,Wiki99/LGBT+,1,2025-01-08
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-09
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-09
Q4099686,WikiProject Medicine,1,2025-01-09
Q97285685,Wiki99/LGBT+,1,2025-01-09
Q6173448,Wikipedia:Vital articles/Level/4,6,2025-01-10
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-10
Q4099686,WikiProject Medicine,1,2025-01-10
Q97285685,Wiki99/LGBT+,1,2025-01-10
