item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,52,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,33,2024-07-13
Q110249806,WikiProject Craft,3,2024-07-13
Q10780973,WikiProject Ukraine,2,2024-07-13
Q54439832,WikiProject Zika Corpus,2,2024-07-13
Q10857957,WikiProject Linguistics,1,2024-07-13
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-13
Q14943910,WikiProject Geology,1,2024-07-13
Q10858450,WikiProject Psychology,1,2024-07-13
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-13
Q10653810,WikiProject World War II,1,2024-07-13
Q15305047,WikiProject Climate change,1,2024-07-13
Q15271936,WikiProject Companies,1,2024-07-13
Q15060227,WikiProject Internet,1,2024-07-13
Q15884720,WikiProject Engineering,1,2024-07-13
Q5830855,WikiProject Music,1,2024-07-13
Q59078555,Q59078555,1,2024-07-13
Q6526225,WikiProject Computer Science,1,2024-07-13
Q6723002,WikiProject Biology,1,2024-07-13
Q8001410,WikiProject Sports,1,2024-07-13
Q8486648,WikiProject Education,1,2024-07-13
Q8486941,WikiProject Law,1,2024-07-13
Q8486980,WikiProject Languages,1,2024-07-13
Q8487137,WikiProject Mathematics,1,2024-07-13
Q8487234,WikiProject Chemistry,1,2024-07-13
Q8503229,WikiProject Religion,1,2024-07-13
Q8503311,WikiProject Philosophy,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,52,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,33,2024-07-14
Q110249806,WikiProject Craft,3,2024-07-14
Q10780973,WikiProject Ukraine,2,2024-07-14
Q54439832,WikiProject Zika Corpus,2,2024-07-14
Q10857957,WikiProject Linguistics,1,2024-07-14
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-14
Q14943910,WikiProject Geology,1,2024-07-14
Q10858450,WikiProject Psychology,1,2024-07-14
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-14
Q10653810,WikiProject World War II,1,2024-07-14
Q15305047,WikiProject Climate change,1,2024-07-14
Q15271936,WikiProject Companies,1,2024-07-14
Q15060227,WikiProject Internet,1,2024-07-14
Q15884720,WikiProject Engineering,1,2024-07-14
Q5830855,WikiProject Music,1,2024-07-14
Q59078555,Q59078555,1,2024-07-14
Q6526225,WikiProject Computer Science,1,2024-07-14
Q6723002,WikiProject Biology,1,2024-07-14
Q8001410,WikiProject Sports,1,2024-07-14
Q8486648,WikiProject Education,1,2024-07-14
Q8486941,WikiProject Law,1,2024-07-14
Q8486980,WikiProject Languages,1,2024-07-14
Q8487137,WikiProject Mathematics,1,2024-07-14
Q8487234,WikiProject Chemistry,1,2024-07-14
Q8503229,WikiProject Religion,1,2024-07-14
Q8503311,WikiProject Philosophy,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,51,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,33,2024-07-15
Q110249806,WikiProject Craft,3,2024-07-15
Q10780973,WikiProject Ukraine,2,2024-07-15
Q54439832,WikiProject Zika Corpus,2,2024-07-15
Q10857957,WikiProject Linguistics,1,2024-07-15
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-15
Q14943910,WikiProject Geology,1,2024-07-15
Q10858450,WikiProject Psychology,1,2024-07-15
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-15
Q10653810,WikiProject World War II,1,2024-07-15
Q15305047,WikiProject Climate change,1,2024-07-15
Q15271936,WikiProject Companies,1,2024-07-15
Q15060227,WikiProject Internet,1,2024-07-15
Q15884720,WikiProject Engineering,1,2024-07-15
Q5830855,WikiProject Music,1,2024-07-15
Q59078555,Q59078555,1,2024-07-15
Q6526225,WikiProject Computer Science,1,2024-07-15
Q6723002,WikiProject Biology,1,2024-07-15
Q8001410,WikiProject Sports,1,2024-07-15
Q8486648,WikiProject Education,1,2024-07-15
Q8486941,WikiProject Law,1,2024-07-15
Q8486980,WikiProject Languages,1,2024-07-15
Q8487137,WikiProject Mathematics,1,2024-07-15
Q8487234,WikiProject Chemistry,1,2024-07-15
Q8503229,WikiProject Religion,1,2024-07-15
Q8503311,WikiProject Philosophy,1,2024-07-15
Q6173448,Wikipedia:Vital articles/Level/4,51,2024-07-16
Q5460604,Wikipedia:List of articles all languages should have,33,2024-07-16
Q110249806,WikiProject Craft,3,2024-07-16
Q10780973,WikiProject Ukraine,2,2024-07-16
Q54439832,WikiProject Zika Corpus,2,2024-07-16
Q10857957,WikiProject Linguistics,1,2024-07-16
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-16
Q14943910,WikiProject Geology,1,2024-07-16
Q10858450,WikiProject Psychology,1,2024-07-16
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-16
Q10653810,WikiProject World War II,1,2024-07-16
Q15305047,WikiProject Climate change,1,2024-07-16
Q15271936,WikiProject Companies,1,2024-07-16
Q15060227,WikiProject Internet,1,2024-07-16
Q15884720,WikiProject Engineering,1,2024-07-16
Q5830855,WikiProject Music,1,2024-07-16
Q59078555,Q59078555,1,2024-07-16
Q6526225,WikiProject Computer Science,1,2024-07-16
Q6723002,WikiProject Biology,1,2024-07-16
Q8001410,WikiProject Sports,1,2024-07-16
Q8486648,WikiProject Education,1,2024-07-16
Q8486941,WikiProject Law,1,2024-07-16
Q8486980,WikiProject Languages,1,2024-07-16
Q8487137,WikiProject Mathematics,1,2024-07-16
Q8487234,WikiProject Chemistry,1,2024-07-16
Q8503229,WikiProject Religion,1,2024-07-16
Q8503311,WikiProject Philosophy,1,2024-07-16
Q6173448,Wikipedia:Vital articles/Level/4,51,2024-07-17
Q5460604,Wikipedia:List of articles all languages should have,33,2024-07-17
Q110249806,WikiProject Craft,3,2024-07-17
Q10780973,WikiProject Ukraine,2,2024-07-17
Q54439832,WikiProject Zika Corpus,2,2024-07-17
Q10857957,WikiProject Linguistics,1,2024-07-17
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-17
Q14943910,WikiProject Geology,1,2024-07-17
Q10858450,WikiProject Psychology,1,2024-07-17
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-17
Q10653810,WikiProject World War II,1,2024-07-17
Q15305047,WikiProject Climate change,1,2024-07-17
Q15271936,WikiProject Companies,1,2024-07-17
Q15060227,WikiProject Internet,1,2024-07-17
Q15884720,WikiProject Engineering,1,2024-07-17
Q5830855,WikiProject Music,1,2024-07-17
Q59078555,Q59078555,1,2024-07-17
Q6526225,WikiProject Computer Science,1,2024-07-17
Q6723002,WikiProject Biology,1,2024-07-17
Q8001410,WikiProject Sports,1,2024-07-17
Q8486648,WikiProject Education,1,2024-07-17
Q8486941,WikiProject Law,1,2024-07-17
Q8486980,WikiProject Languages,1,2024-07-17
Q8487137,WikiProject Mathematics,1,2024-07-17
Q8487234,WikiProject Chemistry,1,2024-07-17
Q8503229,WikiProject Religion,1,2024-07-17
Q8503311,WikiProject Philosophy,1,2024-07-17
Q6173448,Wikipedia:Vital articles/Level/4,52,2024-07-18
Q5460604,Wikipedia:List of articles all languages should have,34,2024-07-18
Q110249806,WikiProject Craft,3,2024-07-18
Q10780973,WikiProject Ukraine,2,2024-07-18
Q54439832,WikiProject Zika Corpus,2,2024-07-18
Q10858450,WikiProject Psychology,1,2024-07-18
Q117309117,wikiProject CDD,1,2024-07-18
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-18
Q14943910,WikiProject Geology,1,2024-07-18
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-18
Q10857957,WikiProject Linguistics,1,2024-07-18
Q10653810,WikiProject World War II,1,2024-07-18
Q15305047,WikiProject Climate change,1,2024-07-18
Q15271936,WikiProject Companies,1,2024-07-18
Q15060227,WikiProject Internet,1,2024-07-18
Q15884720,WikiProject Engineering,1,2024-07-18
Q5830855,WikiProject Music,1,2024-07-18
Q59078555,Q59078555,1,2024-07-18
Q6526225,WikiProject Computer Science,1,2024-07-18
Q6723002,WikiProject Biology,1,2024-07-18
