item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,25,2025-01-01
Q5460604,Wikipedia:List of articles all languages should have,17,2025-01-01
Q13382529,WikiProject Human Rights,1,2025-01-01
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-01
Q10858450,WikiProject Psychology,1,2025-01-01
Q15304945,WikiProject International relations,1,2025-01-01
Q14816752,WikiProject Lists,1,2025-01-01
Q15305047,WikiProject Climate change,1,2025-01-01
Q24909800,Art+Feminism,1,2025-01-01
Q54439832,WikiProject Zika Corpus,1,2025-01-01
Q52677530,Q52677530,1,2025-01-01
Q5492483,WikiProject Politics,1,2025-01-01
Q59078555,Q59078555,1,2025-01-01
Q6526225,WikiProject Computer Science,1,2025-01-01
Q8486648,WikiProject Education,1,2025-01-01
Q8486941,WikiProject Law,1,2025-01-01
Q8486980,WikiProject Languages,1,2025-01-01
Q8487234,WikiProject Chemistry,1,2025-01-01
Q8503229,WikiProject Religion,1,2025-01-01
Q8503311,WikiProject Philosophy,1,2025-01-01
Q8503406,WikiProject Countries,1,2025-01-01
Q6173448,Wikipedia:Vital articles/Level/4,25,2025-01-02
Q5460604,Wikipedia:List of articles all languages should have,17,2025-01-02
Q13382529,WikiProject Human Rights,1,2025-01-02
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-02
Q10858450,WikiProject Psychology,1,2025-01-02
Q15304945,WikiProject International relations,1,2025-01-02
Q14816752,WikiProject Lists,1,2025-01-02
Q15305047,WikiProject Climate change,1,2025-01-02
Q24909800,Art+Feminism,1,2025-01-02
Q54439832,WikiProject Zika Corpus,1,2025-01-02
Q52677530,Q52677530,1,2025-01-02
Q5492483,WikiProject Politics,1,2025-01-02
Q59078555,Q59078555,1,2025-01-02
Q6526225,WikiProject Computer Science,1,2025-01-02
Q8486648,WikiProject Education,1,2025-01-02
Q8486941,WikiProject Law,1,2025-01-02
Q8486980,WikiProject Languages,1,2025-01-02
Q8487234,WikiProject Chemistry,1,2025-01-02
Q8503229,WikiProject Religion,1,2025-01-02
Q8503311,WikiProject Philosophy,1,2025-01-02
Q8503406,WikiProject Countries,1,2025-01-02
Q6173448,Wikipedia:Vital articles/Level/4,25,2025-01-03
Q5460604,Wikipedia:List of articles all languages should have,17,2025-01-03
Q13382529,WikiProject Human Rights,1,2025-01-03
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-03
Q10858450,WikiProject Psychology,1,2025-01-03
Q15304945,WikiProject International relations,1,2025-01-03
Q14816752,WikiProject Lists,1,2025-01-03
Q15305047,WikiProject Climate change,1,2025-01-03
Q24909800,Art+Feminism,1,2025-01-03
Q54439832,WikiProject Zika Corpus,1,2025-01-03
Q52677530,Q52677530,1,2025-01-03
Q5492483,WikiProject Politics,1,2025-01-03
Q59078555,Q59078555,1,2025-01-03
Q6526225,WikiProject Computer Science,1,2025-01-03
Q8486648,WikiProject Education,1,2025-01-03
Q8486941,WikiProject Law,1,2025-01-03
Q8486980,WikiProject Languages,1,2025-01-03
Q8487234,WikiProject Chemistry,1,2025-01-03
Q8503229,WikiProject Religion,1,2025-01-03
Q8503311,WikiProject Philosophy,1,2025-01-03
Q8503406,WikiProject Countries,1,2025-01-03
Q6173448,Wikipedia:Vital articles/Level/4,25,2025-01-04
Q5460604,Wikipedia:List of articles all languages should have,17,2025-01-04
Q13382529,WikiProject Human Rights,1,2025-01-04
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-04
Q10858450,WikiProject Psychology,1,2025-01-04
Q15304945,WikiProject International relations,1,2025-01-04
Q14816752,WikiProject Lists,1,2025-01-04
Q15305047,WikiProject Climate change,1,2025-01-04
Q24909800,Art+Feminism,1,2025-01-04
Q54439832,WikiProject Zika Corpus,1,2025-01-04
Q52677530,Q52677530,1,2025-01-04
Q5492483,WikiProject Politics,1,2025-01-04
Q59078555,Q59078555,1,2025-01-04
Q6526225,WikiProject Computer Science,1,2025-01-04
Q8486648,WikiProject Education,1,2025-01-04
Q8486941,WikiProject Law,1,2025-01-04
Q8486980,WikiProject Languages,1,2025-01-04
Q8487234,WikiProject Chemistry,1,2025-01-04
Q8503229,WikiProject Religion,1,2025-01-04
Q8503311,WikiProject Philosophy,1,2025-01-04
Q8503406,WikiProject Countries,1,2025-01-04
Q6173448,Wikipedia:Vital articles/Level/4,25,2025-01-05
Q5460604,Wikipedia:List of articles all languages should have,17,2025-01-05
Q13382529,WikiProject Human Rights,1,2025-01-05
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2025-01-05
Q10858450,WikiProject Psychology,1,2025-01-05
