item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-13
Q54439832,WikiProject Zika Corpus,3,2024-07-13
Q11134020,WikiProject Brazil,1,2024-07-13
Q15304953,WikiProject African diaspora,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-14
Q54439832,WikiProject Zika Corpus,3,2024-07-14
Q11134020,WikiProject Brazil,1,2024-07-14
Q15304953,WikiProject African diaspora,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-15
Q54439832,WikiProject Zika Corpus,3,2024-07-15
Q11134020,WikiProject Brazil,1,2024-07-15
Q15304953,WikiProject African diaspora,1,2024-07-15
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-16
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-16
Q54439832,WikiProject Zika Corpus,3,2024-07-16
Q11134020,WikiProject Brazil,1,2024-07-16
Q15304953,WikiProject African diaspora,1,2024-07-16
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-17
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-17
Q54439832,WikiProject Zika Corpus,3,2024-07-17
Q11134020,WikiProject Brazil,1,2024-07-17
Q15304953,WikiProject African diaspora,1,2024-07-17
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-18
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-18
Q54439832,WikiProject Zika Corpus,3,2024-07-18
Q11134020,WikiProject Brazil,1,2024-07-18
Q15304953,WikiProject African diaspora,1,2024-07-18
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-19
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-19
Q54439832,WikiProject Zika Corpus,3,2024-07-19
Q11134020,WikiProject Brazil,1,2024-07-19
Q15304953,WikiProject African diaspora,1,2024-07-19
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-20
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-20
Q54439832,WikiProject Zika Corpus,3,2024-07-20
Q11134020,WikiProject Brazil,1,2024-07-20
Q15304953,WikiProject African diaspora,1,2024-07-20
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-21
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-21
Q54439832,WikiProject Zika Corpus,3,2024-07-21
Q11134020,WikiProject Brazil,1,2024-07-21
Q15304953,WikiProject African diaspora,1,2024-07-21
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-22
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-22
Q54439832,WikiProject Zika Corpus,3,2024-07-22
Q11134020,WikiProject Brazil,1,2024-07-22
Q15304953,WikiProject African diaspora,1,2024-07-22
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-23
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-23
Q54439832,WikiProject Zika Corpus,3,2024-07-23
Q11134020,WikiProject Brazil,1,2024-07-23
Q15304953,WikiProject African diaspora,1,2024-07-23
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-24
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-24
Q54439832,WikiProject Zika Corpus,3,2024-07-24
Q11134020,WikiProject Brazil,1,2024-07-24
Q15304953,WikiProject African diaspora,1,2024-07-24
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-25
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-25
Q54439832,WikiProject Zika Corpus,3,2024-07-25
Q11134020,WikiProject Brazil,1,2024-07-25
Q15304953,WikiProject African diaspora,1,2024-07-25
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-26
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-26
Q54439832,WikiProject Zika Corpus,3,2024-07-26
Q11134020,WikiProject Brazil,1,2024-07-26
Q15304953,WikiProject African diaspora,1,2024-07-26
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-27
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-27
Q54439832,WikiProject Zika Corpus,3,2024-07-27
Q11134020,WikiProject Brazil,1,2024-07-27
Q15304953,WikiProject African diaspora,1,2024-07-27
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-28
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-28
Q54439832,WikiProject Zika Corpus,3,2024-07-28
Q11134020,WikiProject Brazil,1,2024-07-28
Q15304953,WikiProject African diaspora,1,2024-07-28
Q6173448,Wikipedia:Vital articles/Level/4,5,2024-07-29
Q5460604,Wikipedia:List of articles all languages should have,3,2024-07-29
Q54439832,WikiProject Zika Corpus,3,2024-07-29
Q11134020,WikiProject Brazil,1,2024-07-29
