item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,30,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,21,2024-07-13
Q13382529,WikiProject Human Rights,2,2024-07-13
Q10858450,WikiProject Psychology,1,2024-07-13
Q125577596,WikiProject Sufism,1,2024-07-13
Q15884720,WikiProject Engineering,1,2024-07-13
Q11008004,WikiProject Buddhism,1,2024-07-13
Q10858467,WikiProject Hinduism,1,2024-07-13
Q4587240,WikiProject Christianity,1,2024-07-13
Q24909800,Art+Feminism,1,2024-07-13
Q5496999,WikiProject Islam,1,2024-07-13
Q5830855,WikiProject Music,1,2024-07-13
Q6723002,WikiProject Biology,1,2024-07-13
Q8001410,WikiProject Sports,1,2024-07-13
Q8487137,WikiProject Mathematics,1,2024-07-13
Q8487234,WikiProject Chemistry,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,30,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,21,2024-07-14
Q13382529,WikiProject Human Rights,2,2024-07-14
Q10858450,WikiProject Psychology,1,2024-07-14
Q10858467,WikiProject Hinduism,1,2024-07-14
Q15305047,WikiProject Climate change,1,2024-07-14
Q15884720,WikiProject Engineering,1,2024-07-14
Q11008004,WikiProject Buddhism,1,2024-07-14
Q125577596,WikiProject Sufism,1,2024-07-14
Q4587240,WikiProject Christianity,1,2024-07-14
Q24909800,Art+Feminism,1,2024-07-14
Q5496999,WikiProject Islam,1,2024-07-14
Q5830855,WikiProject Music,1,2024-07-14
Q6723002,WikiProject Biology,1,2024-07-14
Q8001410,WikiProject Sports,1,2024-07-14
Q8487137,WikiProject Mathematics,1,2024-07-14
Q8487234,WikiProject Chemistry,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,29,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,21,2024-07-15
Q13382529,WikiProject Human Rights,2,2024-07-15
Q10858450,WikiProject Psychology,1,2024-07-15
Q125577596,WikiProject Sufism,1,2024-07-15
Q15884720,WikiProject Engineering,1,2024-07-15
Q11008004,WikiProject Buddhism,1,2024-07-15
Q10858467,WikiProject Hinduism,1,2024-07-15
Q4587240,WikiProject Christianity,1,2024-07-15
Q24909800,Art+Feminism,1,2024-07-15
Q5496999,WikiProject Islam,1,2024-07-15
Q5830855,WikiProject Music,1,2024-07-15
Q6723002,WikiProject Biology,1,2024-07-15
Q8001410,WikiProject Sports,1,2024-07-15
Q8487137,WikiProject Mathematics,1,2024-07-15
Q8487234,WikiProject Chemistry,1,2024-07-15
