item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,3,2025-01-01
Q10780973,WikiProject Ukraine,1,2025-01-01
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-01-02
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-02
Q100137722,Wikiproject Nuremberg Trials,1,2025-01-02
Q10803886,WikiProject Russia,1,2025-01-02
Q10780973,WikiProject Ukraine,1,2025-01-02
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-01-03
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-03
Q100137722,Wikiproject Nuremberg Trials,1,2025-01-03
Q10803886,WikiProject Russia,1,2025-01-03
Q10780973,WikiProject Ukraine,1,2025-01-03
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-01-04
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-04
Q100137722,Wikiproject Nuremberg Trials,1,2025-01-04
Q10803886,WikiProject Russia,1,2025-01-04
Q10780973,WikiProject Ukraine,1,2025-01-04
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-01-05
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-05
Q100137722,Wikiproject Nuremberg Trials,1,2025-01-05
Q10803886,WikiProject Russia,1,2025-01-05
Q10780973,WikiProject Ukraine,1,2025-01-05
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-01-06
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-06
Q100137722,Wikiproject Nuremberg Trials,1,2025-01-06
Q10803886,WikiProject Russia,1,2025-01-06
Q10780973,WikiProject Ukraine,1,2025-01-06
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-01-07
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-07
Q100137722,Wikiproject Nuremberg Trials,1,2025-01-07
Q10803886,WikiProject Russia,1,2025-01-07
Q10780973,WikiProject Ukraine,1,2025-01-07
Q6173448,Wikipedia:Vital articles/Level/4,5,2025-01-08
Q5460604,Wikipedia:List of articles all languages should have,3,2025-01-08
Q100137722,Wikiproject Nuremberg Trials,1,2025-01-08
Q10803886,WikiProject Russia,1,2025-01-08
Q10780973,WikiProject Ukraine,1,2025-01-08
